2025-11-29 02:26:26 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 02:27:34 | INFO     | Scrolling to load dynamic content...
2025-11-29 02:27:34 | DEBUG    | ⏳ Delay: 3.21s (default)
2025-11-29 02:27:38 | INFO     | Searching for message button...
2025-11-29 02:29:50 | DEBUG    | Found: MESSAGE_BUTTON [11/25]
2025-11-29 02:29:50 | INFO     | ✅ Message button found, clicking...
2025-11-29 02:29:52 | DEBUG    | ⏳ Delay: 1.24s (default)
2025-11-29 02:29:54 | INFO     | Waiting for message form to load...
2025-11-29 02:29:54 | DEBUG    | ⏳ Delay: 1.95s (navigating)
2025-11-29 02:29:56 | INFO     | Searching for message textarea...
2025-11-29 02:32:11 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:32:11 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:32:11 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:32:11 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:32:12 | INFO     | ✅ Browser setup successful (Viewport: 1357x986)
2025-11-29 02:32:12 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:32:12 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:32:12 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:32:12 | INFO     | Navigating to listing...
2025-11-29 02:32:12 | DEBUG    | ⏳ Delay: 2.83s (navigating)
2025-11-29 02:32:15 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 02:32:15 | DEBUG    | ⏳ Delay: 2.25s (default)
2025-11-29 02:32:20 | INFO     | Searching for message button...
2025-11-29 02:33:05 | DEBUG    | Found: MESSAGE_BUTTON [4/35]
2025-11-29 02:33:05 | INFO     | ✅ Message button found, clicking...
2025-11-29 02:33:06 | DEBUG    | ⏳ Delay: 1.10s (default)
2025-11-29 02:33:08 | INFO     | Waiting for message form to load...
2025-11-29 02:33:08 | DEBUG    | ⏳ Delay: 8.38s (navigating)
2025-11-29 02:33:16 | INFO     | Searching for message textarea...
2025-11-29 02:34:54 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 02:35:19 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:35:19 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:35:19 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:35:19 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:35:20 | INFO     | ✅ Browser setup successful (Viewport: 1239x959)
2025-11-29 02:35:20 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:35:20 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:35:20 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:35:20 | INFO     | Navigating to listing...
2025-11-29 02:35:20 | DEBUG    | ⏳ Delay: 3.17s (navigating)
2025-11-29 02:35:24 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 02:35:24 | DEBUG    | ⏳ Delay: 2.47s (default)
2025-11-29 02:35:28 | INFO     | Searching for message button...
2025-11-29 02:35:32 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:35:32 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:35:32 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:35:32 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:35:33 | INFO     | ✅ Browser setup successful (Viewport: 1204x871)
2025-11-29 02:35:33 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:35:33 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:35:33 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:35:33 | INFO     | Navigating to listing...
2025-11-29 02:35:34 | DEBUG    | ⏳ Delay: 3.07s (navigating)
2025-11-29 02:35:38 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 02:35:38 | DEBUG    | ⏳ Delay: 4.63s (default)
2025-11-29 02:35:44 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 02:36:03 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:36:03 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:36:03 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:36:03 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:36:03 | INFO     | ✅ Browser setup successful (Viewport: 1328x981)
2025-11-29 02:36:03 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:36:03 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 02:36:03 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:36:03 | INFO     | Navigating to listing...
2025-11-29 02:36:04 | DEBUG    | ⏳ Delay: 6.93s (navigating)
2025-11-29 02:36:11 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 02:36:11 | DEBUG    | ⏳ Delay: 2.71s (default)
2025-11-29 02:36:13 | DEBUG    | Found: MESSAGE_BUTTON [4/35]
2025-11-29 02:36:13 | INFO     | ✅ Message button found, clicking...
2025-11-29 02:36:14 | DEBUG    | ⏳ Delay: 2.30s (default)
2025-11-29 02:36:16 | INFO     | Searching for message button...
2025-11-29 02:36:18 | INFO     | Waiting for message form to load...
2025-11-29 02:36:18 | DEBUG    | ⏳ Delay: 2.30s (navigating)
2025-11-29 02:36:20 | INFO     | Searching for message textarea...
2025-11-29 02:37:01 | DEBUG    | Found: MESSAGE_BUTTON [4/35]
2025-11-29 02:37:01 | INFO     | ✅ Message button found, clicking...
2025-11-29 02:37:02 | DEBUG    | ⏳ Delay: 7.03s (default)
2025-11-29 02:37:10 | INFO     | Waiting for message form to load...
2025-11-29 02:37:10 | DEBUG    | ⏳ Delay: 3.28s (navigating)
2025-11-29 02:37:13 | INFO     | Searching for message textarea...
2025-11-29 02:37:24 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 02:37:27 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 02:37:27 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:37:27 | INFO     | Offer: €100.0 (pickup)
2025-11-29 02:37:27 | INFO     | Headless: False
2025-11-29 02:37:27 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 02:37:29 | INFO     | ✅ Browser setup successful (Viewport: 1496x989)
2025-11-29 02:37:29 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 02:37:29 | INFO     | 🔐 Performing login...
2025-11-29 02:37:29 | INFO     | 🔐 Logging in...
2025-11-29 02:37:30 | DEBUG    | ⏳ Delay: 3.61s (navigating)
2025-11-29 02:37:51 | WARNING  | Not found: COOKIE_BANNER (tried 6 selectors)
2025-11-29 02:38:01 | DEBUG    | Found: EMAIL_FIELD [2/6]
2025-11-29 02:38:08 | DEBUG    | ⏳ Delay: 4.83s (thinking)
2025-11-29 02:38:12 | DEBUG    | Found: PASSWORD_FIELD [1/6]
2025-11-29 02:38:16 | DEBUG    | ⏳ Delay: 7.78s (thinking)
2025-11-29 02:38:24 | DEBUG    | Found: LOGIN_SUBMIT [1/10]
2025-11-29 02:38:32 | INFO     | ✅ Login successful
2025-11-29 02:38:32 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:38:32 | INFO     | Navigating to listing...
2025-11-29 02:38:33 | DEBUG    | ⏳ Delay: 3.18s (navigating)
2025-11-29 02:38:36 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 02:38:36 | DEBUG    | ⏳ Delay: 2.87s (default)
2025-11-29 02:38:41 | INFO     | Searching for message button...
2025-11-29 02:41:10 | WARNING  | Not found: MESSAGE_TEXTAREA (tried 29 selectors)
2025-11-29 02:41:10 | ERROR    | ❌ Message textarea not found
2025-11-29 02:41:11 | DEBUG    | Screenshot saved: screenshots/error_textarea_not_found_20251129_024110.png
2025-11-29 02:41:11 | WARNING  | 🔍 DEBUG: Searching for all textareas...
2025-11-29 02:41:11 | WARNING  | Found 0 textareas on page
2025-11-29 02:41:11 | DEBUG    | Browser closed
2025-11-29 02:41:11 | ERROR    | ❌ Workflow failed: Message failed
2025-11-29 02:43:11 | DEBUG    | Found: MESSAGE_BUTTON [19/35]
2025-11-29 02:43:11 | INFO     | ✅ Message button found, clicking...
2025-11-29 02:43:13 | DEBUG    | ⏳ Delay: 1.85s (default)
2025-11-29 02:43:16 | INFO     | Waiting for message form to load...
2025-11-29 02:43:16 | DEBUG    | ⏳ Delay: 9.11s (navigating)
2025-11-29 02:43:25 | INFO     | Searching for message textarea...
2025-11-29 02:44:05 | DEBUG    | Found: MESSAGE_TEXTAREA [5/29]
2025-11-29 02:44:05 | INFO     | ✅ Textarea found, filling message...
2025-11-29 02:44:06 | DEBUG    | ⏳ Delay: 2.60s (default)
2025-11-29 02:44:16 | DEBUG    | ⏳ Delay: 6.51s (thinking)
2025-11-29 02:44:22 | INFO     | Searching for send button...
2025-11-29 02:46:02 | DEBUG    | Found: MESSAGE_SEND [11/24]
2025-11-29 02:46:02 | INFO     | ✅ Send button found, clicking...
2025-11-29 02:46:05 | DEBUG    | ⏳ Delay: 2.62s (default)
2025-11-29 02:46:10 | INFO     | Verifying message sent...
2025-11-29 02:46:10 | DEBUG    | ⏳ Delay: 3.39s (navigating)
2025-11-29 02:46:14 | INFO     | Current URL after send: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:46:14 | INFO     | Checking for success indicators...
2025-11-29 02:46:22 | WARNING  | ⚠️  Could not verify success, assuming message sent
2025-11-29 02:46:22 | INFO     | 📬 Navigating to conversation: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 02:46:23 | DEBUG    | ⏳ Delay: 1.66s (navigating)
2025-11-29 02:46:24 | INFO     | 💰 Making offer: €100.0, pickup
2025-11-29 02:46:24 | DEBUG    | ⏳ Delay: 16.73s (thinking)
2025-11-29 02:47:11 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
2025-11-29 04:27:29 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 04:27:29 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 04:27:29 | INFO     | Offer: €100.0 (pickup)
2025-11-29 04:27:29 | INFO     | Headless: False
2025-11-29 04:27:29 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 04:27:31 | INFO     | ✅ Browser setup successful (Viewport: 1523x861)
2025-11-29 04:27:31 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 04:27:31 | INFO     | ✅ Cookies loaded - skipping login verification
2025-11-29 04:27:31 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 04:27:31 | INFO     | Navigating to listing...
2025-11-29 04:27:32 | DEBUG    | ⏳ Delay: 1.76s (navigating)
2025-11-29 04:27:34 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 04:27:34 | DEBUG    | ⏳ Delay: 2.45s (default)
2025-11-29 04:27:38 | INFO     | Searching for message button...
2025-11-29 04:27:40 | WARNING  | Not found: MESSAGE_BUTTON (tried 35 selectors)
2025-11-29 04:27:40 | ERROR    | ❌ Message button not found
2025-11-29 04:27:40 | ERROR    | Failed to take screenshot: Page.screenshot: Target page, context or browser has been closed
2025-11-29 04:27:40 | WARNING  | 🔍 DEBUG: Analyzing page elements...
2025-11-29 04:27:40 | ERROR    | Debug analysis failed: Page.query_selector_all: Target page, context or browser has been closed
2025-11-29 04:27:40 | DEBUG    | Browser closed
2025-11-29 04:27:40 | ERROR    | ❌ Workflow failed: Message failed
2025-11-29 04:27:54 | INFO     | 🚀 Kleinanzeigen Bot v2.0
2025-11-29 04:27:54 | INFO     | URL: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 04:27:54 | INFO     | Offer: €100.0 (pickup)
2025-11-29 04:27:54 | INFO     | Headless: False
2025-11-29 04:27:54 | INFO     | 🔧 Setting up browser with anti-detection...
2025-11-29 04:27:56 | INFO     | ✅ Browser setup successful (Viewport: 1320x976)
2025-11-29 04:27:56 | INFO     | ✅ Cookies loaded: 323 valid cookies
2025-11-29 04:27:56 | INFO     | 🔐 Performing login...
2025-11-29 04:27:56 | INFO     | 🔐 Logging in...
2025-11-29 04:27:57 | DEBUG    | ⏳ Delay: 1.71s (navigating)
2025-11-29 04:28:16 | WARNING  | Not found: COOKIE_BANNER (tried 6 selectors)
2025-11-29 04:28:26 | DEBUG    | Found: EMAIL_FIELD [2/6]
2025-11-29 04:28:31 | DEBUG    | ⏳ Delay: 6.59s (thinking)
2025-11-29 04:28:37 | DEBUG    | Found: PASSWORD_FIELD [1/6]
2025-11-29 04:28:40 | DEBUG    | ⏳ Delay: 9.65s (thinking)
2025-11-29 04:28:49 | DEBUG    | Found: LOGIN_SUBMIT [1/10]
2025-11-29 04:28:58 | INFO     | ✅ Login successful
2025-11-29 04:28:58 | INFO     | 💬 Sending message to: https://www.kleinanzeigen.de/s-anzeige/baba-ddr5-ram/3259103117-225-4564
2025-11-29 04:28:58 | INFO     | Navigating to listing...
2025-11-29 04:28:59 | DEBUG    | ⏳ Delay: 3.40s (navigating)
2025-11-29 04:29:02 | INFO     | Scrolling to trigger lazy-loaded content...
2025-11-29 04:29:02 | DEBUG    | ⏳ Delay: 2.98s (default)
2025-11-29 04:29:07 | INFO     | Searching for message button...
2025-11-29 04:32:32 | ERROR    | Error closing browser: Browser.close: Connection closed while reading from the driver
